date,temperature_2m,relative_humidity_2m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,terrestrial_radiation
2024-10-28 00:00:00+00:00,13.206,92.74091,13.106,13.656,13.906,15.356,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28 01:00:00+00:00,13.406,92.75182,13.106,13.856,13.956,15.356,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28 02:00:00+00:00,13.306,93.35818,13.156,13.806,13.956,15.356,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28 03:00:00+00:00,13.056,94.2717,13.156,13.7560005,13.956,15.356,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28 04:00:00+00:00,13.056,93.65343,13.106,13.706,13.956,15.356,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28 05:00:00+00:00,13.206,91.829155,13.156,13.706,13.956,15.356,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28 06:00:00+00:00,12.806,89.70188,13.0060005,13.656,13.956,15.356,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28 07:00:00+00:00,12.5060005,88.19997,12.806,13.606,13.956,15.356,9.0,1.0,8.0,12.84514,9.0,48.16773
2024-10-28 08:00:00+00:00,13.556,83.456024,13.0060005,13.556,13.956,15.356,43.0,1.0,42.0,6.5642624,43.0,211.16711
2024-10-28 09:00:00+00:00,14.2560005,80.01591,13.406,13.556,13.956,15.356,115.0,13.0,102.0,47.349487,115.0,380.58344
2024-10-28 10:00:00+00:00,14.956,73.73133,14.0060005,13.556,13.956,15.356,258.0,123.0,135.0,336.1882,258.00003,507.17065
2024-10-28 11:00:00+00:00,15.656,67.94612,14.556,13.606,13.956,15.356,336.0,227.0,109.0,540.4186,336.0,582.2864
2024-10-28 12:00:00+00:00,16.105999,67.13483,15.056,13.706,13.956,15.356,373.0,254.0,119.0,586.0782,373.0,600.79846
2024-10-28 13:00:00+00:00,15.906,76.63348,14.856,13.806,13.956,15.356,232.0,75.0,157.0,185.1934,232.0,561.4305
2024-10-28 14:00:00+00:00,15.656,76.8472,14.956,13.906,13.956,15.356,184.0,46.0,138.0,136.59906,184.0,466.85278
2024-10-28 15:00:00+00:00,15.306,79.11125,14.906,14.0060005,13.956,15.356,111.0,18.0,93.0,77.140434,111.0,323.49664
2024-10-28 16:00:00+00:00,14.606,81.67042,14.606,14.056,13.956,15.356,44.0,5.0,39.0,40.676086,44.0,141.11876
2024-10-28 17:00:00+00:00,13.356,88.27358,14.0060005,14.056,13.956,15.356,1.0,0.0,1.0,0.0,1.0,9.925626
2024-10-28 18:00:00+00:00,12.906,90.30551,13.556,14.056,14.0060005,15.356,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28 19:00:00+00:00,12.7560005,90.894775,13.2560005,14.0060005,14.0060005,15.356,0.0,0.0,0.0,0.0,0.0,0.0
