Coordinates 52.5483283996582°N 13.407821655273438°E
Elevation 38.0 m asl
Timezone None None
Timezone difference to GMT+0 0 s
                         date  temperature_2m
0   2024-10-12 00:00:00+00:00        5.008500
1   2024-10-12 01:00:00+00:00        4.058500
2   2024-10-12 02:00:00+00:00        3.508500
3   2024-10-12 03:00:00+00:00        3.308500
4   2024-10-12 04:00:00+00:00        2.858500
5   2024-10-12 05:00:00+00:00        2.558500
6   2024-10-12 06:00:00+00:00        3.108500
7   2024-10-12 07:00:00+00:00        5.358500
8   2024-10-12 08:00:00+00:00        8.108500
9   2024-10-12 09:00:00+00:00       10.608500
10  2024-10-12 10:00:00+00:00       12.058500
11  2024-10-12 11:00:00+00:00       12.758500
12  2024-10-12 12:00:00+00:00       13.208500
13  2024-10-12 13:00:00+00:00       13.258500
14  2024-10-12 14:00:00+00:00       13.108500
15  2024-10-12 15:00:00+00:00       12.658501
16  2024-10-12 16:00:00+00:00       11.858500
17  2024-10-12 17:00:00+00:00       11.308500
18  2024-10-12 18:00:00+00:00       10.658501
19  2024-10-12 19:00:00+00:00       10.658501
20  2024-10-12 20:00:00+00:00       10.658501
21  2024-10-12 21:00:00+00:00        9.808500
22  2024-10-12 22:00:00+00:00       10.058500
23  2024-10-12 23:00:00+00:00       10.458500
24  2024-10-13 00:00:00+00:00       10.308500
25  2024-10-13 01:00:00+00:00        9.608500
26  2024-10-13 02:00:00+00:00        9.808500
27  2024-10-13 03:00:00+00:00        9.908501
28  2024-10-13 04:00:00+00:00       10.208500
29  2024-10-13 05:00:00+00:00       10.508500
30  2024-10-13 06:00:00+00:00       10.108500
31  2024-10-13 07:00:00+00:00        9.608500
32  2024-10-13 08:00:00+00:00        9.508500
33  2024-10-13 09:00:00+00:00        9.758500
34  2024-10-13 10:00:00+00:00        9.808500
35  2024-10-13 11:00:00+00:00       10.758500
36  2024-10-13 12:00:00+00:00       11.858500
37  2024-10-13 13:00:00+00:00       11.658501
38  2024-10-13 14:00:00+00:00       11.358500
39  2024-10-13 15:00:00+00:00       11.658501
40  2024-10-13 16:00:00+00:00       11.508500
41  2024-10-13 17:00:00+00:00       10.908501
42  2024-10-13 18:00:00+00:00       10.608500
43  2024-10-13 19:00:00+00:00       10.358500
44  2024-10-13 20:00:00+00:00       10.008500
45  2024-10-13 21:00:00+00:00        9.508500
46  2024-10-13 22:00:00+00:00        9.108500
47  2024-10-13 23:00:00+00:00        8.708500
48  2024-10-14 00:00:00+00:00        8.308500
