date,temperature_2m,relative_humidity_2m,soil_temperature_54cm,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,terrestrial_radiation
2024-10-28 23:00:00+00:00,11.8455,92.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 00:00:00+00:00,12.2455,92.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 01:00:00+00:00,12.2455,91.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 02:00:00+00:00,12.195499,91.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 03:00:00+00:00,12.195499,91.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 04:00:00+00:00,12.1455,91.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 05:00:00+00:00,12.0455,91.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 06:00:00+00:00,12.0455,90.0,13.7455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 07:00:00+00:00,12.0955,88.0,13.7455,3.0,0.0,3.0,0.0,3.0,44.97703
2024-10-29 08:00:00+00:00,12.3955,85.0,13.7455,33.25,1.5,31.75,10.156234,33.25,204.83328
2024-10-29 09:00:00+00:00,13.2955,80.0,13.695499,132.25,45.25,87.0,167.75282,132.25,374.11078
2024-10-29 10:00:00+00:00,13.695499,78.0,13.695499,164.25,38.0,126.25,105.28628,164.25,500.57922
2024-10-29 11:00:00+00:00,14.1455,76.0,13.695499,152.75,26.5,126.25,63.85458,152.75,575.60474
2024-10-29 12:00:00+00:00,14.445499,76.0,13.695499,85.5,5.0,80.5,11.67399,85.5,594.06055
2024-10-29 13:00:00+00:00,14.7955,74.0,13.695499,105.0,20.25,84.75,50.63789,105.0,554.6756
2024-10-29 14:00:00+00:00,14.8455,75.0,13.695499,94.75,11.5,83.25,34.667732,94.75,460.1204
2024-10-29 15:00:00+00:00,14.8455,76.0,13.695499,66.25,10.25,56.0,44.875725,66.25,316.82617
2024-10-29 16:00:00+00:00,14.445499,77.0,13.695499,18.25,1.0,17.25,8.304554,18.25,134.54474
2024-10-29 17:00:00+00:00,13.945499,80.0,13.695499,0.25,0.0,0.25,0.0,0.25,6.6413326
2024-10-29 18:00:00+00:00,13.5455,85.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 19:00:00+00:00,13.2955,85.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 20:00:00+00:00,13.0955,85.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 21:00:00+00:00,12.7955,88.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 22:00:00+00:00,12.4955,90.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29 23:00:00+00:00,12.195499,92.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30 00:00:00+00:00,11.945499,94.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30 01:00:00+00:00,11.5955,95.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30 02:00:00+00:00,11.1455,94.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30 03:00:00+00:00,11.1455,94.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30 04:00:00+00:00,11.0455,94.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30 05:00:00+00:00,11.0955,93.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30 06:00:00+00:00,10.9955,94.0,13.695499,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30 07:00:00+00:00,11.195499,93.0,13.695499,5.0,0.25,4.75,3.4119802,5.0,41.77307
2024-10-30 08:00:00+00:00,11.5955,91.0,13.695499,44.75,6.25,38.5,43.703285,44.75,198.44302
2024-10-30 09:00:00+00:00,12.2955,88.0,13.6455,88.5,13.5,75.0,50.970207,88.5,367.53336
2024-10-30 10:00:00+00:00,12.8955,86.0,13.6455,130.5,29.75,100.75,83.59615,130.5,493.84366
2024-10-30 11:00:00+00:00,13.2455,87.0,13.6455,172.25,48.75,123.5,118.94627,172.25,568.75085
2024-10-30 12:00:00+00:00,13.695499,85.0,13.6455,147.0,18.25,128.75,43.135128,147.0,587.13715
2024-10-30 13:00:00+00:00,13.7455,86.0,13.6455,115.25,10.75,104.5,27.236673,115.25,547.7363
2024-10-30 14:00:00+00:00,13.8955,84.0,13.6455,118.0,20.0,98.0,61.24174,118.0,453.22006
2024-10-30 15:00:00+00:00,13.7455,87.0,13.6455,58.25,8.5,49.75,38.051212,58.25,310.0177
2024-10-30 16:00:00+00:00,13.3955,88.0,13.6455,15.0,0.5,14.5,4.2419405,15.0,127.874374
2024-10-30 17:00:00+00:00,12.8955,92.0,13.6455,0.25,0.0,0.25,0.0,0.25,3.3217819
2024-10-30 18:00:00+00:00,12.3455,95.0,13.6455,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30 19:00:00+00:00,11.7955,96.0,13.6455,0.0,0.0,0.0,0.0,0.0,0.0
