date,icon_seamless_temperature_2m,icon_seamless_relative_humidity_2m,icon_seamless_soil_temperature_54cm,icon_seamless_shortwave_radiation,icon_seamless_direct_radiation,icon_seamless_diffuse_radiation,icon_seamless_direct_normal_irradiance,icon_seamless_global_tilted_irradiance,icon_seamless_terrestrial_radiation,icon_global_temperature_2m,icon_global_relative_humidity_2m,icon_global_soil_temperature_54cm,icon_global_shortwave_radiation,icon_global_direct_radiation,icon_global_diffuse_radiation,icon_global_direct_normal_irradiance,icon_global_global_tilted_irradiance,icon_global_terrestrial_radiation,icon_eu_temperature_2m,icon_eu_relative_humidity_2m,icon_eu_soil_temperature_54cm,icon_eu_shortwave_radiation,icon_eu_direct_radiation,icon_eu_diffuse_radiation,icon_eu_direct_normal_irradiance,icon_eu_global_tilted_irradiance,icon_eu_terrestrial_radiation,icon_d2_temperature_2m,icon_d2_relative_humidity_2m,icon_d2_soil_temperature_54cm,icon_d2_shortwave_radiation,icon_d2_direct_radiation,icon_d2_diffuse_radiation,icon_d2_direct_normal_irradiance,icon_d2_global_tilted_irradiance,icon_d2_terrestrial_radiation
2024-12-04 23:00:00+00:00,3.8455,88.0,7.5455,0.0,0.0,0.0,0.0,0.0,0.0,1.952,89.0,7.302,0.0,0.0,0.0,0.0,0.0,0.0,2.5795,85.0,7.3795,0.0,0.0,0.0,0.0,0.0,0.0,3.8455,88.0,7.5455,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-05 00:00:00+00:00,3.4955,87.0,7.5455,0.0,0.0,0.0,0.0,0.0,0.0,2.7020001,87.0,7.302,0.0,0.0,0.0,0.0,0.0,0.0,2.8295,85.0,7.3795,0.0,0.0,0.0,0.0,0.0,0.0,3.4955,87.0,7.5455,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-05 01:00:00+00:00,3.4455001,86.0,7.5455,0.0,0.0,0.0,0.0,0.0,0.0,2.552,89.0,7.252,0.0,0.0,0.0,0.0,0.0,0.0,2.7795,87.0,7.3295,0.0,0.0,0.0,0.0,0.0,0.0,3.4455001,86.0,7.5455,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-05 02:00:00+00:00,3.5455,86.0,7.5455,0.0,0.0,0.0,0.0,0.0,0.0,2.752,89.0,7.252,0.0,0.0,0.0,0.0,0.0,0.0,3.0295,87.0,7.3295,0.0,0.0,0.0,0.0,0.0,0.0,3.5455,86.0,7.5455,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-05 03:00:00+00:00,3.8955,86.0,7.5455,0.0,0.0,0.0,0.0,0.0,0.0,3.2020001,87.0,7.252,0.0,0.0,0.0,0.0,0.0,0.0,3.4795,87.0,7.3295,0.0,0.0,0.0,0.0,0.0,0.0,3.8955,86.0,7.5455,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-05 04:00:00+00:00,4.0955,85.0,7.4954996,0.0,0.0,0.0,0.0,0.0,0.0,3.402,88.0,7.252,0.0,0.0,0.0,0.0,0.0,0.0,3.7295,88.0,7.3295,0.0,0.0,0.0,0.0,0.0,0.0,4.0955,85.0,7.4954996,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-05 05:00:00+00:00,4.0455,82.0,7.4954996,0.0,0.0,0.0,0.0,0.0,0.0,3.7020001,86.0,7.202,0.0,0.0,0.0,0.0,0.0,0.0,3.9795,86.0,7.2795,0.0,0.0,0.0,0.0,0.0,0.0,4.0455,82.0,7.4954996,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-05 06:00:00+00:00,4.1955,82.0,7.4954996,0.0,0.0,0.0,0.0,0.0,0.0,3.852,83.0,7.202,0.0,0.0,0.0,0.0,0.0,0.0,3.9795,82.0,7.2795,0.0,0.0,0.0,0.0,0.0,0.0,4.1955,82.0,7.4954996,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-05 07:00:00+00:00,4.2955,83.0,7.4954996,0.0,0.0,0.0,0.0,0.0,0.0,3.9520001,82.0,7.202,0.0,0.0,0.0,0.0,0.0,0.0,3.9795,81.0,7.2795,0.0,0.0,0.0,0.0,0.0,0.0,4.2955,83.0,7.4954996,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-05 08:00:00+00:00,4.3954997,80.0,7.4455,6.0,0.0,6.0,0.0,6.0,38.389854,3.902,81.0,7.202,7.0,0.0,7.0,0.0,7.0,38.914898,3.9795,81.0,7.2795,6.0,0.0,6.0,0.0,6.0,38.54807,4.3954997,80.0,7.4455,6.0,0.0,6.0,0.0,6.0,38.389854
2024-12-05 09:00:00+00:00,5.2454996,73.0,7.4455,37.5,0.0,37.5,0.0,37.5,173.10901,4.352,78.0,7.152,35.0,0.0,35.0,0.0,35.0,174.11385,4.6795,78.0,7.2295,36.0,0.0,36.0,0.0,36.0,173.49022,5.2454996,73.0,7.4455,37.5,0.0,37.5,0.0,37.5,173.10901
2024-12-05 10:00:00+00:00,5.1454997,74.0,7.4455,50.25,0.25,50.0,1.1709216,50.25,300.75232,4.352,82.0,7.152,40.0,0.0,40.0,0.0,40.0,301.70395,4.5795,81.0,7.2295,41.0,0.0,41.0,0.0,41.0,301.2681,5.1454997,74.0,7.4455,50.25,0.25,50.0,1.1709216,50.25,300.75232
2024-12-05 11:00:00+00:00,5.0455,78.0,7.4455,41.5,0.75,40.75,2.783583,41.5,379.54135,4.502,81.0,7.152,25.0,0.0,25.0,0.0,25.0,380.38693,4.7295,80.0,7.2295,34.0,0.0,34.0,0.0,34.0,380.16864,5.0455,78.0,7.4455,41.5,0.75,40.75,2.783583,41.5,379.54135
2024-12-05 12:00:00+00:00,5.2454996,79.0,7.4455,39.25,0.25,39.0,0.871467,39.25,404.10675,4.752,83.0,7.152,29.0,0.0,29.0,0.0,29.0,404.8011,4.7295,82.0,7.2295,29.0,0.0,29.0,0.0,29.0,404.8151,5.2454996,79.0,7.4455,39.25,0.25,39.0,0.871467,39.25,404.10675
2024-12-05 13:00:00+00:00,5.6955,76.0,7.3954997,36.5,0.25,36.25,0.9447338,36.5,372.77148,5.052,80.0,7.152,26.0,2.0,24.0,7.547592,26.0,373.2791,5.0295,80.0,7.2295,22.0,0.0,22.0,0.0,22.0,373.52454,5.6955,76.0,7.3954997,36.5,0.25,36.25,0.9447338,36.5,372.77148
2024-12-05 14:00:00+00:00,5.4455,81.0,7.3954997,20.75,0.0,20.75,0.0,20.75,287.6658,5.252,82.0,7.102,13.0,0.0,13.0,0.0,13.0,287.96484,5.2295,82.0,7.1795,17.0,0.0,17.0,0.0,17.0,288.42477,5.4455,81.0,7.3954997,20.75,0.0,20.75,0.0,20.75,287.6658
2024-12-05 15:00:00+00:00,5.4455,81.0,7.3954997,4.75,0.0,4.75,0.0,4.75,154.58281,5.352,84.0,7.102,7.0,0.0,7.0,0.0,7.0,154.66434,5.1795,83.0,7.1795,8.0,0.0,8.0,0.0,8.0,155.30757,5.4455,81.0,7.3954997,4.75,0.0,4.75,0.0,4.75,154.58281
2024-12-05 16:00:00+00:00,5.5955,82.0,7.3954997,1.0,0.0,1.0,0.0,1.0,27.52043,5.602,87.0,7.102,1.0,0.0,1.0,0.0,1.0,27.505547,5.4795,88.0,7.1795,1.0,0.0,1.0,0.0,1.0,27.877743,5.5955,82.0,7.3954997,1.0,0.0,1.0,0.0,1.0,27.52043
2024-12-05 17:00:00+00:00,5.6955,84.0,7.3954997,0.0,0.0,0.0,0.0,0.0,0.0,6.102,89.0,7.102,0.0,0.0,0.0,0.0,0.0,0.0,5.8295,88.0,7.1795,0.0,0.0,0.0,0.0,0.0,0.0,5.6955,84.0,7.3954997,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-05 18:00:00+00:00,5.9954996,87.0,7.3954997,0.0,0.0,0.0,0.0,0.0,0.0,6.652,89.0,7.102,0.0,0.0,0.0,0.0,0.0,0.0,6.2295,89.0,7.1795,0.0,0.0,0.0,0.0,0.0,0.0,5.9954996,87.0,7.3954997,0.0,0.0,0.0,0.0,0.0,0.0
